id	dist.bin	type	V1	V2	lat.V1	long.V1	lat.V2	long.V2	popset	dist
1	0	PoolSNP	AT_See_16_1	AT_Mau_15_50	46.8136889	13.50794792	48.375	15.56	EW	2.57848988557557
10	0	PoolSNP	DE_Bro_16_10	AT_Mau_15_50	48.218024	7.819513	48.375	15.56	EW	7.74207856210107
101	20	PoolSNP	FR_Vil_16_9	AT_Mau_15_51	48.7543324	2.1584108	48.375	15.56	EW	13.4069566328547
1010	0	PoolSNP	FI_Ves_14_38	RU_val_15_36	62.55	26.24	58.024	33.23528	EW	8.33178361927385
1011	0	PoolSNP	FI_Ves_16_7	RU_val_15_36	62.55	26.24	58.024	33.23528	EW	8.33178361927385
1012	40	PoolSNP	FR_Got_15_49	RU_val_15_36	44.977	4.93	58.024	33.23528	EW	31.1675004592669
1014	40	PoolSNP	FR_Vil_15_40	RU_val_15_36	48.754	2.158	58.024	33.23528	EW	32.4303905649994
1015	40	PoolSNP	FR_Vil_15_41	RU_val_15_36	48.754	2.158	58.024	33.23528	EW	32.4303905649994
1016	40	PoolSNP	FR_Vil_16_9	RU_val_15_36	48.7543324	2.1584108	58.024	33.23528	EW	32.4299018914396
102	0	PoolSNP	SE_Lun_14_30	AT_Mau_15_51	55.694	13.198	48.375	15.56	EW	7.69069600231345
1032	40	PoolSNP	UK_Lut_14_13	RU_val_15_36	52.433592	-1.102667	58.024	33.23528	EW	34.7900454984076
1034	40	PoolSNP	UK_Mar_15_42	RU_val_15_36	52.4608	-0.959	58.024	33.23528	EW	34.6438736136478
1036	40	PoolSNP	UK_She_14_09	RU_val_15_36	53.39052	-1.520599	58.024	33.23528	EW	35.0633749370057
1037	40	PoolSNP	UK_She_15_17	RU_val_15_36	53.391	-1.521	58.024	33.23528	EW	35.0637089943206
1039	20	PoolSNP	CH_Cha_14_42	RU_val_15_38	46.5670416	6.701867	58.024	33.23528	EW	28.9012785393294
104	0	PoolSNP	SE_Lun_15_15	AT_Mau_15_51	55.694	13.198	48.375	15.56	EW	7.69069600231345
1054	20	PoolSNP	DE_Mun_16_13	RU_val_15_38	48.18	11.61	58.024	33.23528	EW	23.7604097413828
1065	20	PoolSNP	FI_Aka_14_36	RU_val_15_38	61.1	23.52	58.024	33.23528	EW	10.1906055501329
1072	0	PoolSNP	FI_Ves_16_7	RU_val_15_38	62.55	26.24	58.024	33.23528	EW	8.33178361927385
1073	40	PoolSNP	FR_Got_15_49	RU_val_15_38	44.977	4.93	58.024	33.23528	EW	31.1675004592669
1076	40	PoolSNP	FR_Vil_15_41	RU_val_15_38	48.754	2.158	58.024	33.23528	EW	32.4303905649994
1081	20	PoolSNP	TR_Yes_15_3	RU_val_15_38	40.231444	32.260328	58.024	33.23528	EW	17.8192474705146
1091	40	PoolSNP	UK_Dai_15_52	RU_val_15_38	56.344534	-2.952766	58.024	33.23528	EW	36.2269965542725
1096	40	PoolSNP	UK_Mar_16_53	RU_val_15_38	52.46	-0.959	58.024	33.23528	EW	34.6440020886502
1098	40	PoolSNP	UK_She_15_17	RU_val_15_38	53.391	-1.521	58.024	33.23528	EW	35.0637089943206
11	0	PoolSNP	DE_Bro_16_11	AT_Mau_15_50	48.218024	7.819513	48.375	15.56	EW	7.74207856210107
1110	20	PoolSNP	DE_Mun_14_31	UA_Che_14_28	48.18	11.61	51.37330556	30.13830556	EW	18.8014708819351
1113	20	PoolSNP	DE_Mun_15_46	UA_Che_14_28	48.18	11.61	51.37330556	30.13830556	EW	18.8014708819351
1115	20	PoolSNP	DE_Mun_16_13	UA_Che_14_28	48.18	11.61	51.37330556	30.13830556	EW	18.8014708819351
1127	20	PoolSNP	FI_Aka_14_37	UA_Che_14_28	61.1	23.52	51.37330556	30.13830556	EW	11.7648014524111
1128	20	PoolSNP	FI_Aka_15_34	UA_Che_14_28	61.1	23.52	51.37330556	30.13830556	EW	11.7648014524111
1130	20	PoolSNP	FI_Aka_16_5	UA_Che_14_28	61.1	23.52	51.37330556	30.13830556	EW	11.7648014524111
114	20	PoolSNP	TR_Yes_16_52	AT_Mau_15_51	40.231444	32.260328	48.375	15.56	EW	18.5800554259862
1181	20	PoolSNP	DK_Kar_16_4	UA_Che_14_29	55.945128	10.212586	51.38691667	30.07330556	EW	20.3770820278544
1184	40	PoolSNP	ES_Gim_16_34	UA_Che_14_29	41.656416	0.388472	51.38691667	30.07330556	EW	31.2389498346819
1191	20	PoolSNP	FI_Aka_16_5	UA_Che_14_29	61.1	23.52	51.38691667	30.07330556	EW	11.717073078984
1208	20	PoolSNP	TR_Yes_16_39	UA_Che_14_29	40.231444	32.260328	51.38691667	30.07330556	EW	11.3678334630738
1216	40	PoolSNP	UK_Mar_14_12	UA_Che_14_29	52.475769	-0.921517	51.38691667	30.07330556	EW	31.0139424279215
1243	40	PoolSNP	ES_Gim_15_30	UA_Cho_15_24	41.656416	0.388472	51.279245	30.213118	EW	31.3386079299728
1246	40	PoolSNP	ES_Tom_15_28	UA_Cho_15_24	39.15805	-3.021	51.279245	30.213118	EW	35.3755560728867
1274	40	PoolSNP	UK_Dai_15_52	UA_Cho_15_24	56.344534	-2.952766	51.279245	30.213118	EW	33.550454753326
1277	40	PoolSNP	UK_Mar_14_12	UA_Cho_15_24	52.475769	-0.921517	51.279245	30.213118	EW	31.1576181096341
1278	40	PoolSNP	UK_Mar_15_42	UA_Cho_15_24	52.4608	-0.959	51.279245	30.213118	EW	31.1945029263803
1285	20	PoolSNP	CH_Cha_16_38	UA_Cho_15_25	46.5670416	6.701867	51.279245	30.213118	EW	23.9788194969638
1287	20	PoolSNP	DE_Bro_14_14	UA_Cho_15_25	48.218024	7.819513	51.279245	30.213118	EW	22.601872022177
1293	20	PoolSNP	DE_Mun_14_31	UA_Cho_15_25	48.18	11.61	51.279245	30.213118	EW	18.8595153408551
13	0	PoolSNP	DE_Mun_14_32	AT_Mau_15_50	48.18	11.61	48.375	15.56	EW	3.95481036207806
130	20	PoolSNP	DE_Bro_15_53	BY_Bre_15_13	48.218	7.82	52.142193	23.662434	EW	16.3212133662178
1306	40	PoolSNP	ES_Gim_16_34	UA_Cho_15_25	41.656416	0.388472	51.279245	30.213118	EW	31.3386079299728
1310	20	PoolSNP	FI_Aka_14_37	UA_Cho_15_25	61.1	23.52	51.279245	30.213118	EW	11.8846563825779
1321	20	PoolSNP	FR_Vil_16_9	UA_Cho_15_25	48.7543324	2.1584108	51.279245	30.213118	EW	28.1680986173254
1339	40	PoolSNP	UK_Mar_15_42	UA_Cho_15_25	52.4608	-0.959	51.279245	30.213118	EW	31.1945029263803
1340	40	PoolSNP	UK_Mar_16_53	UA_Cho_15_25	52.46	-0.959	51.279245	30.213118	EW	31.194472635003
1342	40	PoolSNP	UK_She_15_17	UA_Cho_15_25	53.391	-1.521	51.279245	30.213118	EW	31.80430402348
1348	20	PoolSNP	DE_Bro_14_14	UA_Cho_15_26	48.218024	7.819513	51.3352	30.136179	EW	22.5333168346458
1351	20	PoolSNP	DE_Bro_15_54	UA_Cho_15_26	48.218	7.82	51.3352	30.136179	EW	22.5328378372552
1358	20	PoolSNP	DE_Mun_16_12	UA_Cho_15_26	48.18	11.61	51.3352	30.136179	EW	18.7929400408781
1362	20	PoolSNP	DK_Kar_16_2	UA_Cho_15_26	55.945128	10.212586	51.3352	30.136179	EW	20.4499631832146
1370	20	PoolSNP	FI_Aka_14_36	UA_Cho_15_26	61.1	23.52	51.3352	30.136179	EW	11.7951321993457
1401	40	PoolSNP	UK_Mar_16_53	UA_Cho_15_26	52.46	-0.959	51.3352	30.136179	EW	31.1155159379053
1428	40	PoolSNP	ES_Gim_16_34	UA_Cho_15_27	41.656416	0.388472	51.38691667	30.07330556	EW	31.2389498346819
1437	20	PoolSNP	FI_Ves_14_38	UA_Cho_15_27	62.55	26.24	51.38691667	30.07330556	EW	11.8029090036673
1439	20	PoolSNP	FR_Got_15_49	UA_Cho_15_27	44.977	4.93	51.38691667	30.07330556	EW	25.9475017333051
144	20	PoolSNP	DK_Kar_16_4	BY_Bre_15_13	55.945128	10.212586	52.142193	23.662434	EW	13.9771501328894
1457	40	PoolSNP	UK_Dai_15_52	UA_Cho_15_27	56.344534	-2.952766	51.38691667	30.07330556	EW	33.39609815947
1461	40	PoolSNP	UK_Mar_15_42	UA_Cho_15_27	52.4608	-0.959	51.38691667	30.07330556	EW	31.0508810466895
1464	40	PoolSNP	UK_She_15_17	UA_Cho_15_27	53.391	-1.521	51.38691667	30.07330556	EW	31.6578030477832
1472	20	PoolSNP	DE_Bro_15_53	UA_Cho_15_65	48.218	7.82	51.37330556	30.13830556	EW	22.54024658797
1477	20	PoolSNP	DE_Mun_14_32	UA_Cho_15_65	48.18	11.61	51.37330556	30.13830556	EW	18.8014708819351
1488	40	PoolSNP	ES_Gim_15_31	UA_Cho_15_65	41.656416	0.388472	51.37330556	30.13830556	EW	31.2964940459621
1491	40	PoolSNP	ES_Tom_16_37	UA_Cho_15_65	39.152529	-3.0616048	51.37330556	30.13830556	EW	35.3776967543321
15	0	PoolSNP	DE_Mun_15_46	AT_Mau_15_50	48.18	11.61	48.375	15.56	EW	3.95481036207806
150	0	PoolSNP	FI_Aka_14_36	BY_Bre_15_13	61.1	23.52	52.142193	23.662434	EW	8.95893931744183
1505	20	PoolSNP	SE_Lun_14_30	UA_Cho_15_65	55.694	13.198	51.37330556	30.13830556	EW	17.4826300341228
151	0	PoolSNP	FI_Aka_14_37	BY_Bre_15_13	61.1	23.52	52.142193	23.662434	EW	8.95893931744183
1518	40	PoolSNP	UK_Dai_15_52	UA_Cho_15_65	56.344534	-2.952766	51.37330556	30.13830556	EW	33.4623987363683
152	0	PoolSNP	FI_Aka_15_34	BY_Bre_15_13	61.1	23.52	52.142193	23.662434	EW	8.95893931744183
1520	40	PoolSNP	UK_Lut_14_13	UA_Cho_15_65	52.433592	-1.102667	51.37330556	30.13830556	EW	31.2589598967963
1522	40	PoolSNP	UK_Mar_15_42	UA_Cho_15_65	52.4608	-0.959	51.37330556	30.13830556	EW	31.1163149689843
1525	40	PoolSNP	UK_She_15_17	UA_Cho_15_65	53.391	-1.521	51.37330556	30.13830556	EW	31.7235357328696
153	0	PoolSNP	FI_Aka_15_35	BY_Bre_15_13	61.1	23.52	52.142193	23.662434	EW	8.95893931744183
154	0	PoolSNP	FI_Aka_16_5	BY_Bre_15_13	61.1	23.52	52.142193	23.662434	EW	8.95893931744183
1550	40	PoolSNP	ES_Gim_16_34	UA_Cho_15_67	41.656416	0.388472	51.279245	30.213118	EW	31.3386079299728
1552	40	PoolSNP	ES_Tom_16_37	UA_Cho_15_67	39.152529	-3.0616048	51.279245	30.213118	EW	35.4155956940088
1567	20	PoolSNP	SE_Lun_15_14	UA_Cho_15_67	55.694	13.198	51.279245	30.213118	EW	17.5785182044434
1576	20	PoolSNP	TR_Yes_16_42	UA_Cho_15_67	40.231444	32.260328	51.279245	30.213118	EW	11.2358789473588
1586	40	PoolSNP	UK_She_15_17	UA_Cho_15_67	53.391	-1.521	51.279245	30.213118	EW	31.80430402348
1607	20	PoolSNP	DK_Kar_16_3	UA_Cho_15_68	55.945128	10.212586	51.27888889	29.39438889	EW	19.7412094245136
1610	40	PoolSNP	ES_Gim_15_31	UA_Cho_15_68	41.656416	0.388472	51.27888889	29.39438889	EW	30.5603533871644
1611	40	PoolSNP	ES_Gim_16_34	UA_Cho_15_68	41.656416	0.388472	51.27888889	29.39438889	EW	30.5603533871644
1618	20	PoolSNP	FI_Aka_16_5	UA_Cho_15_68	61.1	23.52	51.27888889	29.39438889	EW	11.4438921816802
1624	20	PoolSNP	FR_Vil_15_40	UA_Cho_15_68	48.754	2.158	51.27888889	29.39438889	EW	27.3531706329296
1640	40	PoolSNP	UK_Dai_15_52	UA_Cho_15_68	56.344534	-2.952766	51.27888889	29.39438889	EW	32.7413987156645
1643	40	PoolSNP	UK_Mar_14_12	UA_Cho_15_68	52.475769	-0.921517	51.27888889	29.39438889	EW	30.3395232646963
1647	40	PoolSNP	UK_She_15_17	UA_Cho_15_68	53.391	-1.521	51.27888889	29.39438889	EW	30.98745364758
1652	20	PoolSNP	CY_Nic_14_11	UA_Cho_15_69	35.066461	33.322646	51.27263889	30.22136111	EW	16.500247566969
1653	20	PoolSNP	DE_Bro_14_14	UA_Cho_15_69	48.218024	7.819513	51.27263889	30.22136111	EW	22.6091457350719
166	20	PoolSNP	TR_Yes_15_3	BY_Bre_15_13	40.231444	32.260328	52.142193	23.662434	EW	14.689782945171
1669	20	PoolSNP	DK_Kar_16_4	UA_Cho_15_69	55.945128	10.212586	51.27263889	30.22136111	EW	20.5470979918242
1670	40	PoolSNP	ES_Gim_15_30	UA_Cho_15_69	41.656416	0.388472	51.27263889	30.22136111	EW	31.3444255860546
1674	40	PoolSNP	ES_Tom_16_37	UA_Cho_15_69	39.152529	-3.0616048	51.27263889	30.22136111	EW	35.4210796491566
1697	20	PoolSNP	TR_Yes_16_40	UA_Cho_15_69	40.231444	32.260328	51.27263889	30.22136111	EW	11.2278836196978
17	0	PoolSNP	DE_Mun_16_13	AT_Mau_15_50	48.18	11.61	48.375	15.56	EW	3.95481036207806
1700	20	PoolSNP	TR_Yes_16_52	UA_Cho_15_69	40.231444	32.260328	51.27263889	30.22136111	EW	11.2278836196978
1703	40	PoolSNP	UK_Lut_14_13	UA_Cho_15_69	52.433592	-1.102667	51.27263889	30.22136111	EW	31.3455347563204
1705	40	PoolSNP	UK_Mar_15_42	UA_Cho_15_69	52.4608	-0.959	51.27263889	30.22136111	EW	31.2029909747979
1734	40	PoolSNP	ES_Tom_15_28	UA_Cho_15_70	39.15805	-3.021	51.279245	30.213118	EW	35.3755560728867
1764	40	PoolSNP	UK_Lut_14_13	UA_Cho_15_70	52.433592	-1.102667	51.279245	30.213118	EW	31.3370532622746
1769	40	PoolSNP	UK_She_15_17	UA_Cho_15_70	53.391	-1.521	51.279245	30.213118	EW	31.80430402348
1771	20	PoolSNP	CH_Cha_14_42	UA_Cho_16_54	46.5670416	6.701867	51.27	30.21	EW	23.973947002065
1779	20	PoolSNP	DE_Bro_16_10	UA_Cho_16_54	48.218024	7.819513	51.27	30.21	EW	22.5975322900919
1783	20	PoolSNP	DE_Mun_15_45	UA_Cho_16_54	48.18	11.61	51.27	30.21	EW	18.854922434208
1792	40	PoolSNP	ES_Gim_15_30	UA_Cho_16_54	41.656416	0.388472	51.27	30.21	EW	31.3328027724913
1795	40	PoolSNP	ES_Tom_15_28	UA_Cho_16_54	39.15805	-3.021	51.27	30.21	EW	35.3694599026123
18	0	PoolSNP	DK_Kar_14_39	AT_Mau_15_50	55.945128	10.212586	48.375	15.56	EW	9.26831561956
1804	20	PoolSNP	FI_Ves_16_7	UA_Cho_16_54	62.55	26.24	51.27	30.21	EW	11.9582314745952
1826	40	PoolSNP	UK_Mar_14_12	UA_Cho_16_54	52.475769	-0.921517	51.27	30.21	EW	31.15485884421
1828	40	PoolSNP	UK_Mar_16_53	UA_Cho_16_54	52.46	-0.959	51.27	30.21	EW	31.1917082090738
1879	20	PoolSNP	TR_Yes_16_39	UA_Cho_16_55	40.231444	32.260328	51.37	30.13	EW	11.3404465146977
1884	40	PoolSNP	UK_Dai_15_52	UA_Cho_16_55	56.344534	-2.952766	51.37	30.13	EW	33.4546767243074
1886	40	PoolSNP	UK_Lut_14_13	UA_Cho_16_55	52.433592	-1.102667	51.37	30.13	EW	31.2507714444836
1888	40	PoolSNP	UK_Mar_15_42	UA_Cho_16_55	52.4608	-0.959	51.37	30.13	EW	31.1081302176778
1890	40	PoolSNP	UK_She_14_09	UA_Cho_16_55	53.39052	-1.520599	51.37	30.13	EW	31.715026692866
1892	20	PoolSNP	AT_See_16_1	UA_Cho_16_62	46.8136889	13.50794792	51.38691667	30.07330556	EW	17.1850366882764
19	0	PoolSNP	DK_Kar_14_41	AT_Mau_15_50	55.945128	10.212586	48.375	15.56	EW	9.26831561956
1920	20	PoolSNP	FI_Aka_14_37	UA_Cho_16_62	61.1	23.52	51.38691667	30.07330556	EW	11.717073078984
1924	20	PoolSNP	FI_Aka_16_6	UA_Cho_16_62	61.1	23.52	51.38691667	30.07330556	EW	11.717073078984
1930	20	PoolSNP	FR_Vil_15_41	UA_Cho_16_62	48.754	2.158	51.38691667	30.07330556	EW	28.0391963989578
1945	40	PoolSNP	UK_Dai_15_52	UA_Cho_16_62	56.344534	-2.952766	51.38691667	30.07330556	EW	33.39609815947
1948	40	PoolSNP	UK_Mar_14_12	UA_Cho_16_62	52.475769	-0.921517	51.38691667	30.07330556	EW	31.0139424279215
1953	20	PoolSNP	AT_See_16_1	UA_Dro_14_27	46.8136889	13.50794792	49.32991667	23.50280556	EW	10.3067250586394
2	0	PoolSNP	CH_Cha_14_42	AT_Mau_15_50	46.5670416	6.701867	48.375	15.56	EW	9.04075405161647
20	0	PoolSNP	DK_Kar_16_2	AT_Mau_15_50	55.945128	10.212586	48.375	15.56	EW	9.26831561956
2002	20	PoolSNP	TR_Yes_16_40	UA_Dro_14_27	40.231444	32.260328	49.32991667	23.50280556	EW	12.6283967396436
201	0	PoolSNP	DK_Kar_14_39	PO_Brz_15_12	55.945128	10.212586	54.27342	19.620169	EW	9.55495816522255
2018	20	PoolSNP	CY_Nic_14_11	UA_Dro_15_10	35.066461	33.322646	49.32991667	23.50280556	EW	17.316911789263
202	0	PoolSNP	DK_Kar_14_41	PO_Brz_15_12	55.945128	10.212586	54.27342	19.620169	EW	9.55495816522255
203	0	PoolSNP	DK_Kar_16_2	PO_Brz_15_12	55.945128	10.212586	54.27342	19.620169	EW	9.55495816522255
204	0	PoolSNP	DK_Kar_16_3	PO_Brz_15_12	55.945128	10.212586	54.27342	19.620169	EW	9.55495816522255
2046	20	PoolSNP	FI_Aka_16_6	UA_Dro_15_10	61.1	23.52	49.32991667	23.50280556	EW	11.7700958893252
2049	20	PoolSNP	FR_Got_15_49	UA_Dro_15_10	44.977	4.93	49.32991667	23.50280556	EW	19.0760842393173
2074	20	PoolSNP	UK_She_15_17	UA_Dro_15_10	53.391	-1.521	49.32991667	23.50280556	EW	25.3511980489659
2081	20	PoolSNP	DE_Bro_14_15	UA_Dro_16_56	48.218024	7.819513	49.32991667	23.50280556	EW	15.7226578806559
2102	20	PoolSNP	FI_Aka_14_36	UA_Dro_16_56	61.1	23.52	49.32991667	23.50280556	EW	11.7700958893252
211	0	PoolSNP	FI_Aka_14_36	PO_Brz_15_12	61.1	23.52	54.27342	19.620169	EW	7.86198933635508
2110	20	PoolSNP	FR_Got_15_49	UA_Dro_16_56	44.977	4.93	49.32991667	23.50280556	EW	19.0760842393173
212	0	PoolSNP	FI_Aka_14_37	PO_Brz_15_12	61.1	23.52	54.27342	19.620169	EW	7.86198933635508
2125	20	PoolSNP	TR_Yes_16_42	UA_Dro_16_56	40.231444	32.260328	49.32991667	23.50280556	EW	12.6283967396436
2126	20	PoolSNP	TR_Yes_16_43	UA_Dro_16_56	40.231444	32.260328	49.32991667	23.50280556	EW	12.6283967396436
2132	20	PoolSNP	UK_Mar_15_42	UA_Dro_16_56	52.4608	-0.959	49.32991667	23.50280556	EW	24.6613536060233
214	0	PoolSNP	FI_Aka_15_35	PO_Brz_15_12	61.1	23.52	54.27342	19.620169	EW	7.86198933635508
2141	20	PoolSNP	DE_Bro_14_14	UA_Kan_16_57	48.218024	7.819513	49.72	31.53	EW	23.7580118208941
2155	20	PoolSNP	DK_Kar_16_2	UA_Kan_16_57	55.945128	10.212586	49.72	31.53	EW	22.2077544624345
2157	20	PoolSNP	DK_Kar_16_4	UA_Kan_16_57	55.945128	10.212586	49.72	31.53	EW	22.2077544624345
216	0	PoolSNP	FI_Aka_16_6	PO_Brz_15_12	61.1	23.52	54.27342	19.620169	EW	7.86198933635508
2169	20	PoolSNP	FI_Ves_14_38	UA_Kan_16_57	62.55	26.24	49.72	31.53	EW	13.8777880081806
2177	20	PoolSNP	SE_Lun_15_14	UA_Kan_16_57	55.694	13.198	49.72	31.53	EW	19.2808428239017
2181	0	PoolSNP	TR_Yes_15_5	UA_Kan_16_57	40.231444	32.260328	49.72	31.53	EW	9.51662093143989
2182	0	PoolSNP	TR_Yes_15_6	UA_Kan_16_57	40.231444	32.260328	49.72	31.53	EW	9.51662093143989
2183	0	PoolSNP	TR_Yes_15_8	UA_Kan_16_57	40.231444	32.260328	49.72	31.53	EW	9.51662093143989
2184	0	PoolSNP	TR_Yes_16_39	UA_Kan_16_57	40.231444	32.260328	49.72	31.53	EW	9.51662093143989
2186	0	PoolSNP	TR_Yes_16_42	UA_Kan_16_57	40.231444	32.260328	49.72	31.53	EW	9.51662093143989
2187	0	PoolSNP	TR_Yes_16_43	UA_Kan_16_57	40.231444	32.260328	49.72	31.53	EW	9.51662093143989
2188	0	PoolSNP	TR_Yes_16_52	UA_Kan_16_57	40.231444	32.260328	49.72	31.53	EW	9.51662093143989
2189	40	PoolSNP	UK_Dai_15_52	UA_Kan_16_57	56.344534	-2.952766	49.72	31.53	EW	35.1133251306098
2191	40	PoolSNP	UK_Lut_14_13	UA_Kan_16_57	52.433592	-1.102667	49.72	31.53	EW	32.7452979384118
2192	40	PoolSNP	UK_Mar_14_12	UA_Kan_16_57	52.475769	-0.921517	49.72	31.53	EW	32.5683161735858
2193	40	PoolSNP	UK_Mar_15_42	UA_Kan_16_57	52.4608	-0.959	49.72	31.53	EW	32.6044031633766
22	0	PoolSNP	DK_Kar_16_4	AT_Mau_15_50	55.945128	10.212586	48.375	15.56	EW	9.26831561956
2217	20	PoolSNP	DK_Kar_16_3	UA_Kha_15_19	55.945128	10.212586	49.81852778	36.05475	EW	26.5584764333084
2228	20	PoolSNP	FI_Aka_16_5	UA_Kha_15_19	61.1	23.52	49.81852778	36.05475	EW	16.8639133362672
2237	20	PoolSNP	SE_Lun_14_30	UA_Kha_15_19	55.694	13.198	49.81852778	36.05475	EW	23.599834625914
224	0	PoolSNP	SE_Lun_14_30	PO_Brz_15_12	55.694	13.198	54.27342	19.620169	EW	6.57740847150008
2240	20	PoolSNP	TR_Yes_15_3	UA_Kha_15_19	40.231444	32.260328	49.81852778	36.05475	EW	10.3106650473586
2242	20	PoolSNP	TR_Yes_15_5	UA_Kha_15_19	40.231444	32.260328	49.81852778	36.05475	EW	10.3106650473586
2259	20	PoolSNP	CH_Cha_14_42	UA_Kha_16_58	46.5670416	6.701867	49.81852778	36.05475	EW	29.5324212144961
226	0	PoolSNP	SE_Lun_15_15	PO_Brz_15_12	55.694	13.198	54.27342	19.620169	EW	6.57740847150008
2260	20	PoolSNP	CH_Cha_15_39	UA_Kha_16_58	46.5670416	6.701867	49.81852778	36.05475	EW	29.5324212144961
2262	20	PoolSNP	CY_Nic_14_11	UA_Kha_16_58	35.066461	33.322646	49.81852778	36.05475	EW	15.0029285990568
2281	40	PoolSNP	ES_Gim_15_31	UA_Kha_16_58	41.656416	0.388472	49.81852778	36.05475	EW	36.5882966955623
2282	40	PoolSNP	ES_Gim_16_34	UA_Kha_16_58	41.656416	0.388472	49.81852778	36.05475	EW	36.5882966955623
2283	40	PoolSNP	ES_Tom_15_28	UA_Kha_16_58	39.15805	-3.021	49.81852778	36.05475	EW	40.5038272828676
2284	40	PoolSNP	ES_Tom_16_37	UA_Kha_16_58	39.152529	-3.0616048	49.81852778	36.05475	EW	40.5444539094368
2295	40	PoolSNP	FR_Vil_15_40	UA_Kha_16_58	48.754	2.158	49.81852778	36.05475	EW	33.9134616333528
2296	40	PoolSNP	FR_Vil_15_41	UA_Kha_16_58	48.754	2.158	49.81852778	36.05475	EW	33.9134616333528
2301	20	PoolSNP	TR_Yes_15_3	UA_Kha_16_58	40.231444	32.260328	49.81852778	36.05475	EW	10.3106650473586
2304	20	PoolSNP	TR_Yes_15_6	UA_Kha_16_58	40.231444	32.260328	49.81852778	36.05475	EW	10.3106650473586
2311	40	PoolSNP	UK_Dai_15_52	UA_Kha_16_58	56.344534	-2.952766	49.81852778	36.05475	EW	39.5496531169836
2313	40	PoolSNP	UK_Lut_14_13	UA_Kha_16_58	52.433592	-1.102667	49.81852778	36.05475	EW	37.2493248124931
2315	40	PoolSNP	UK_Mar_15_42	UA_Kha_16_58	52.4608	-0.959	49.81852778	36.05475	EW	37.1079410847205
2329	20	PoolSNP	DE_Bro_16_11	UA_Kyi_14_23	48.218024	7.819513	50.34402778	30.48911111	EW	22.7690704804015
2330	20	PoolSNP	DE_Mun_14_31	UA_Kyi_14_23	48.18	11.61	50.34402778	30.48911111	EW	19.0027327649561
2333	20	PoolSNP	DE_Mun_15_46	UA_Kyi_14_23	48.18	11.61	50.34402778	30.48911111	EW	19.0027327649561
2365	20	PoolSNP	TR_Yes_15_6	UA_Kyi_14_23	40.231444	32.260328	50.34402778	30.48911111	EW	10.2665261884895
2368	20	PoolSNP	TR_Yes_16_40	UA_Kyi_14_23	40.231444	32.260328	50.34402778	30.48911111	EW	10.2665261884895
2376	40	PoolSNP	UK_Mar_15_42	UA_Kyi_14_23	52.4608	-0.959	50.34402778	30.48911111	EW	31.5192705660881
2377	40	PoolSNP	UK_Mar_16_53	UA_Kyi_14_23	52.46	-0.959	50.34402778	30.48911111	EW	31.5192168497683
2378	40	PoolSNP	UK_She_14_09	UA_Kyi_14_23	53.39052	-1.520599	50.34402778	30.48911111	EW	32.1543567214889
2380	20	PoolSNP	AT_See_16_1	UA_Kyi_14_24	46.8136889	13.50794792	50.34402778	30.48911111	EW	17.3442554147778
2384	20	PoolSNP	CY_Nic_14_11	UA_Kyi_14_24	35.066461	33.322646	50.34402778	30.48911111	EW	15.5381133568463
2387	20	PoolSNP	DE_Bro_15_53	UA_Kyi_14_24	48.218	7.82	50.34402778	30.48911111	EW	22.7685878490269
2400	20	PoolSNP	DK_Kar_16_3	UA_Kyi_14_24	55.945128	10.212586	50.34402778	30.48911111	EW	21.035916766591
2402	40	PoolSNP	ES_Gim_15_30	UA_Kyi_14_24	41.656416	0.388472	50.34402778	30.48911111	EW	31.3292686360607
2403	40	PoolSNP	ES_Gim_15_31	UA_Kyi_14_24	41.656416	0.388472	50.34402778	30.48911111	EW	31.3292686360607
2406	40	PoolSNP	ES_Tom_16_37	UA_Kyi_14_24	39.152529	-3.0616048	50.34402778	30.48911111	EW	35.3680672784967
2435	40	PoolSNP	UK_Lut_14_13	UA_Kyi_14_24	52.433592	-1.102667	50.34402778	30.48911111	EW	31.6608073614837
2437	40	PoolSNP	UK_Mar_15_42	UA_Kyi_14_24	52.4608	-0.959	50.34402778	30.48911111	EW	31.5192705660881
2439	40	PoolSNP	UK_She_14_09	UA_Kyi_14_24	53.39052	-1.520599	50.34402778	30.48911111	EW	32.1543567214889
2440	40	PoolSNP	UK_She_15_17	UA_Kyi_14_24	53.391	-1.521	50.34402778	30.48911111	EW	32.1548013986092
2453	20	PoolSNP	DE_Mun_14_32	UA_Kyi_15_64	48.18	11.61	50.383374	30.368038	EW	18.8870020541461
